,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
487,CHEMBL1258663,N[C@H](Cc1ccccc1Cl)C(=O)N1CCN(c2ncnc3ccccc23)CC1,26500.0,inactive,421.5010000000002,1.8656000000000004,1.0,7.0,26500.0,4.576754126063192
493,CHEMBL1257164,N[C@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCN(c2ncnc3ccccc23)CC1,37826.0,inactive,554.5440000000001,5.232500000000004,2.0,5.0,37826.0,4.422209581778241
497,CHEMBL1782188,O=C(c1cccs1)N1N=C(c2cccnc2)CC1c1ccccc1O,10000.0,inactive,342.36300000000017,0.25659999999999983,2.0,9.0,10000.0,5.0
498,CHEMBL1782187,O=C(c1ccc[nH]1)N1N=C(c2cccnc2)CC1c1ccccc1O,10000.0,inactive,442.9990000000003,3.177220000000002,2.0,7.0,10000.0,5.0
499,CHEMBL1782186,CCOc1cccc2cc(C(=O)N3N=C(c4cccnc4)CC3c3ccccc3O)oc12,10000.0,inactive,493.8410000000002,3.377320000000002,2.0,7.0,10000.0,5.0
500,CHEMBL1782185,O=C(c1ccc(Br)o1)N1N=C(c2cccnc2)CC1c1ccccc1O,10000.0,inactive,482.9420000000002,3.6336200000000023,2.0,7.0,10000.0,5.0
501,CHEMBL1782182,O=C(c1cccc(-n2cccn2)c1)N1N=C(c2cccnc2)CC1c1ccccc1O,10000.0,inactive,539.5920000000002,4.7147200000000025,2.0,9.0,10000.0,5.0
502,CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,30000.0,inactive,528.5400000000002,5.233520000000005,1.0,8.0,30000.0,4.522878745280337
503,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,30000.0,inactive,515.5520000000002,5.195800000000003,2.0,7.0,30000.0,4.522878745280337
504,CHEMBL1957085,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cc1,10000.0,inactive,571.6160000000002,5.759200000000004,3.0,7.0,10000.0,5.0
510,CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,25000.0,inactive,553.6260000000002,5.871300000000004,3.0,7.0,25000.0,4.6020599913279625
511,CHEMBL2031893,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC,25000.0,inactive,496.57400000000024,5.661700000000003,2.0,6.0,25000.0,4.6020599913279625
512,CHEMBL2177837,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2cccc(F)c2)cc1,80.0,active,488.59500000000014,5.652300000000005,2.0,6.0,80.0,7.096910013008056
513,CHEMBL2177836,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5cccc(F)c5)cc4)c3n2)c1,18.0,active,420.47600000000017,4.2459000000000024,2.0,6.0,18.0,7.7447274948966935
514,CHEMBL2177835,Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,35.0,active,420.47600000000017,3.9947000000000026,2.0,6.0,35.0,7.455931955649724
515,CHEMBL2177834,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CNC(=O)c5ccccc5)cc4)c3n2)c1,47.0,active,499.3720000000002,4.757200000000003,2.0,6.0,47.0,7.327902142064283
516,CHEMBL2177832,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,32.0,active,497.56200000000024,5.056700000000003,2.0,7.0,32.0,7.494850021680094
517,CHEMBL2177829,Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CC(=O)Nc2ccccc2)cc1,25.0,active,515.5520000000002,5.195800000000003,2.0,7.0,25.0,7.6020599913279625
518,CHEMBL2177828,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CC(=O)Nc5cccc(F)c5)cc4)c3n2)c1,24.0,active,518.0330000000002,3.0107000000000017,2.0,7.0,24.0,7.619788758288394
